Filename,Touches
app/ui/legacy/src/main/java/com/fsck/k9/ui/settings/SettingsDividerItem.kt,6
app/ui/legacy/src/main/java/com/fsck/k9/ui/settings/UrlActionItem.kt,4
app/ui/legacy/src/main/res/layout/material_drawer_recycler_view.xml,4
app/ui/legacy/src/main/res/layout/message_list.xml,2
app/ui/legacy/src/main/res/values/colors.xml,2
app/ui/legacy/src/main/res/values/styles.xml,7
app/ui/legacy/src/main/java/com/fsck/k9/ui/changelog/ChangelogFragment.kt,4
app/ui/legacy/src/main/java/com/fsck/k9/ui/changelog/ChangelogViewModel.kt,4
app/core/src/main/java/com/fsck/k9/mailstore/KoinModule.kt,28
app/core/src/main/java/com/fsck/k9/mailstore/LocalFolder.java,72
app/core/src/main/java/com/fsck/k9/mailstore/LocalMessage.java,30
app/core/src/main/java/com/fsck/k9/mailstore/MessageNotFoundException.kt,2
app/core/src/main/java/com/fsck/k9/mailstore/MessageRepository.kt,2
app/ui/base/build.gradle,8
app/ui/base/src/main/java/com/fsck/k9/ui/base/loader/LiveDataLoader.kt,2
app/ui/base/src/main/java/com/fsck/k9/ui/base/loader/LoaderStateObserver.kt,2
app/ui/legacy/src/main/java/com/fsck/k9/ui/FragmentExtras.kt,4
app/ui/legacy/src/main/java/com/fsck/k9/ui/messagesource/KoinModule.kt,2
app/ui/legacy/src/main/java/com/fsck/k9/ui/messagesource/MessageHeadersFragment.kt,4
app/ui/legacy/src/main/java/com/fsck/k9/ui/messagesource/MessageHeadersViewModel.kt,2
app/ui/legacy/src/main/java/com/fsck/k9/ui/messagesource/MessageSourceActivity.kt,2
app/ui/legacy/src/main/java/com/fsck/k9/ui/messageview/MessageTopView.java,6
app/ui/legacy/src/main/java/com/fsck/k9/ui/messageview/MessageViewFragment.java,16
app/ui/legacy/src/main/java/com/fsck/k9/view/MessageHeader.java,12
app/ui/legacy/src/main/res/layout/message_view_header.xml,4
app/ui/legacy/src/main/res/layout/message_view_headers.xml,3
app/ui/legacy/src/main/res/layout/message_view_headers_activity.xml,2
app/ui/legacy/src/main/res/menu/message_list_option.xml,4
app/ui/legacy/src/main/res/values/strings.xml,19
mail/common/src/main/java/com/fsck/k9/mail/message/MessageHeaderParser.java,3
mail/common/src/main/java/com/fsck/k9/mail/message/MessageHeaderParser.kt,4
app/ui/legacy/src/main/java/com/fsck/k9/ui/messagesource/MessageHeadersActivity.kt,2
app/core/src/main/res/values/arrays_general_settings_values.xml,11
app/ui/legacy/src/main/res/values/arrays_general_settings_strings.xml,4
app/ui/legacy/src/main/java/com/fsck/k9/ui/messageview/MessageContainerView.java,6
app/ui/legacy/src/main/java/com/fsck/k9/activity/ManageIdentities.java,4
app/ui/legacy/src/main/res/menu/edit_identity_menu.xml,2
app/ui/legacy/src/main/res/values-en-rGB/strings.xml,2
mail/protocols/smtp/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransport.java,24
mail/protocols/smtp/src/test/java/com/fsck/k9/mail/transport/smtp/SmtpTransportTest.java,17
app/core/src/main/java/com/fsck/k9/Account.java,85
app/core/src/main/java/com/fsck/k9/AccountPreferenceSerializer.kt,52
app/core/src/main/java/com/fsck/k9/Preferences.java,28
app/core/src/test/java/com/fsck/k9/preferences/SettingsImporterTest.java,15
app/ui/legacy/src/main/java/com/fsck/k9/fragment/MessageListFragment.kt,5
app/ui/legacy/src/main/java/com/fsck/k9/ui/settings/import/AccountActivator.kt,6
app/core/src/main/java/com/fsck/k9/Core.kt,46
app/storage/src/main/java/com/fsck/k9/preferences/migrations/migration12/ImapStoreUriDecoder.java,4
app/storage/src/main/java/com/fsck/k9/preferences/migrations/migration12/Pop3StoreUriDecoder.java,4
app/storage/src/main/java/com/fsck/k9/preferences/migrations/migration12/SmtpTransportUriDecoder.java,4
app/storage/src/main/java/com/fsck/k9/preferences/migrations/migration12/WebDavStoreUriDecoder.java,4
app/ui/legacy/src/main/java/com/fsck/k9/view/RecipientSelectView.java,16
app/ui/legacy/src/main/java/com/fsck/k9/activity/AccountList.java,6
app/ui/legacy/src/main/java/com/fsck/k9/activity/ChooseAccount.java,4
app/ui/legacy/src/main/java/com/fsck/k9/activity/LauncherShortcuts.java,4
